Country,Campaign,Ad group,Type,Slot,Text,Chars,Your notes
NZ,WW | NZ | Brand,Brand - Waterwell,Headline,H1,Waterwell Clinic NZ,19,
NZ,WW | NZ | Brand,Brand - Waterwell,Headline,H2,Waterwell Naturopath,20,
NZ,WW | NZ | Brand,Brand - Waterwell,Headline,H3,"Kohei Iguchi, Naturopath",24,
NZ,WW | NZ | Brand,Brand - Waterwell,Headline,H4,Book Waterwell Clinic Online,28,
NZ,WW | NZ | Brand,Brand - Waterwell,Headline,H5,10+ Years Of Consultations,26,
NZ,WW | NZ | Brand,Brand - Waterwell,Headline,H6,32 Five-Star Google Reviews,27,
NZ,WW | NZ | Brand,Brand - Waterwell,Headline,H7,10+ Years In Skin Health,24,
NZ,WW | NZ | Brand,Brand - Waterwell,Headline,H8,"Skin, Gut & Hormone Care",24,
NZ,WW | NZ | Brand,Brand - Waterwell,Headline,H9,Free 15-Min Discovery Call,26,
NZ,WW | NZ | Brand,Brand - Waterwell,Headline,H10,"Book Direct, No Waitlist",24,
NZ,WW | NZ | Brand,Brand - Waterwell,Headline,H11,Official Waterwell Clinic Site,30,
NZ,WW | NZ | Brand,Brand - Waterwell,Headline,H12,Waterwell Naturopathy Consults,30,
NZ,WW | NZ | Brand,Brand - Waterwell,Headline,H13,Consults By Secure Video,24,
NZ,WW | NZ | Brand,Brand - Waterwell,Headline,H14,"Consults Online, NZ-Wide",24,
NZ,WW | NZ | Brand,Brand - Waterwell,Headline,H15,Same Practitioner Every Visit,29,
NZ,WW | NZ | Brand,Brand - Waterwell,Description,D1,"Waterwell Clinic - Kohei Iguchi's naturopathy practice. Skin, gut and hormone care.",83,
NZ,WW | NZ | Brand,Brand - Waterwell,Description,D2,"Kohei Iguchi, naturopath. 32 five-star reviews and 10+ years in practice.",73,
NZ,WW | NZ | Brand,Brand - Waterwell,Description,D3,"Book straight off the calendar. Consults by secure video, no waitlist, no forms first.",86,
NZ,WW | NZ | Brand,Brand - Waterwell,Description,D4,"Start with a free 15-minute discovery call. No obligation, no pressure to commit.",81,
NZ,WW | NZ | Online Naturopath,Online Naturopath Consult,Headline,H1,Online Naturopath NZ,20,
NZ,WW | NZ | Online Naturopath,Online Naturopath Consult,Headline,H2,Online Naturopath Consultation,30,
NZ,WW | NZ | Online Naturopath,Online Naturopath Consult,Headline,H3,Naturopath By Secure Video,26,
NZ,WW | NZ | Online Naturopath,Online Naturopath Consult,Headline,H4,A Decade Of Consultations,25,
NZ,WW | NZ | Online Naturopath,Online Naturopath Consult,Headline,H5,Works Alongside Your GP,23,
NZ,WW | NZ | Online Naturopath,Online Naturopath Consult,Headline,H6,Functional Testing Posted Home,30,
NZ,WW | NZ | Online Naturopath,Online Naturopath Consult,Headline,H7,32 Five-Star Reviews,20,
NZ,WW | NZ | Online Naturopath,Online Naturopath Consult,Headline,H8,A Decade In Skin Health,23,
NZ,WW | NZ | Online Naturopath,Online Naturopath Consult,Headline,H9,Start With A Free Chat,22,
NZ,WW | NZ | Online Naturopath,Online Naturopath Consult,Headline,H10,Book A Naturopath Online,24,
NZ,WW | NZ | Online Naturopath,Online Naturopath Consult,Headline,H11,"One Practitioner, Every Visit",29,
NZ,WW | NZ | Online Naturopath,Online Naturopath Consult,Headline,H12,Naturopath Video Consultation,29,
NZ,WW | NZ | Online Naturopath,Online Naturopath Consult,Headline,H13,Consults Across New Zealand,27,
NZ,WW | NZ | Online Naturopath,Online Naturopath Consult,Headline,H14,No Clinic Visit Required,24,
NZ,WW | NZ | Online Naturopath,Online Naturopath Consult,Headline,H15,Book Your Naturopath Consult,28,
NZ,WW | NZ | Online Naturopath,Online Naturopath Consult,Description,D1,Full naturopath consults by secure video. Functional lab testing posted to your door.,85,
NZ,WW | NZ | Online Naturopath,Online Naturopath Consult,Description,D2,"More than ten years in practice, with 32 five-star Google reviews.",66,
NZ,WW | NZ | Online Naturopath,Online Naturopath Consult,Description,D3,"Works alongside your GP and current medication, this adds to your care, not against it.",87,
NZ,WW | NZ | Online Naturopath,Online Naturopath Consult,Description,D4,"Free 15-minute discovery call first. No obligation, consults by video across NZ.",80,
NZ,WW | NZ | Online Naturopath,General Naturopathy,Headline,H1,Naturopath NZ,13,
NZ,WW | NZ | Online Naturopath,General Naturopathy,Headline,H2,Naturopath Auckland To Dunedin,30,
NZ,WW | NZ | Online Naturopath,General Naturopathy,Headline,H3,Registered Naturopath NZ,24,
NZ,WW | NZ | Online Naturopath,General Naturopathy,Headline,H4,"Naturopath, Ten Years In",24,
NZ,WW | NZ | Online Naturopath,General Naturopathy,Headline,H5,"One Naturopath, All Of NZ",25,
NZ,WW | NZ | Online Naturopath,General Naturopathy,Headline,H6,"Rated 5 Stars, 32 Reviews",25,
NZ,WW | NZ | Online Naturopath,General Naturopathy,Headline,H7,10+ Years Working With Skin,27,
NZ,WW | NZ | Online Naturopath,General Naturopathy,Headline,H8,"Gut, Skin, Hormones & Energy",28,
NZ,WW | NZ | Online Naturopath,General Naturopathy,Headline,H9,Book A Free 15-Min Chat,23,
NZ,WW | NZ | Online Naturopath,General Naturopathy,Headline,H10,Naturopath Consultation Online,30,
NZ,WW | NZ | Online Naturopath,General Naturopathy,Headline,H11,No Local Clinic Needed,22,
NZ,WW | NZ | Online Naturopath,General Naturopathy,Headline,H12,Secure Video Consultations,26,
NZ,WW | NZ | Online Naturopath,General Naturopathy,Headline,H13,A Plan Built Around You,23,
NZ,WW | NZ | Online Naturopath,General Naturopathy,Headline,H14,"Naturopath, By Video, NZ-Wide",29,
NZ,WW | NZ | Online Naturopath,General Naturopathy,Headline,H15,Book Your Naturopath Session,28,
NZ,WW | NZ | Online Naturopath,General Naturopathy,Description,D1,"Wherever you are in NZ, one experienced naturopath, no travel, no local clinic needed.",86,
NZ,WW | NZ | Online Naturopath,General Naturopathy,Description,D2,"Gut, energy, hormones, skin and sleep, all covered by one qualified practitioner.",81,
NZ,WW | NZ | Online Naturopath,General Naturopathy,Description,D3,32 five-star reviews and 10+ years in practice. Free 15-minute discovery call first.,84,
NZ,WW | NZ | Online Naturopath,General Naturopathy,Description,D4,"Naturopathic consultations by secure video, right across New Zealand.",69,
NZ,WW | NZ | Online Naturopath,Gut & Digestive Health,Headline,H1,Naturopath For Gut Health,25,
NZ,WW | NZ | Online Naturopath,Gut & Digestive Health,Headline,H2,Naturopath For Bloating,23,
NZ,WW | NZ | Online Naturopath,Gut & Digestive Health,Headline,H3,"IBS Support, By Video",21,
NZ,WW | NZ | Online Naturopath,Gut & Digestive Health,Headline,H4,Gut Microbiome Testing NZ,25,
NZ,WW | NZ | Online Naturopath,Gut & Digestive Health,Headline,H5,Stool Testing Posted Home,25,
NZ,WW | NZ | Online Naturopath,Gut & Digestive Health,Headline,H6,Naturopath For Digestion,24,
NZ,WW | NZ | Online Naturopath,Gut & Digestive Health,Headline,H7,Skin-Focused For 10+ Years,26,
NZ,WW | NZ | Online Naturopath,Gut & Digestive Health,Headline,H8,"32 Reviews, All Five Stars",26,
NZ,WW | NZ | Online Naturopath,Gut & Digestive Health,Headline,H9,Adds To Your GP's Care,22,
NZ,WW | NZ | Online Naturopath,Gut & Digestive Health,Headline,H10,Book A Free 15-Min Call,23,
NZ,WW | NZ | Online Naturopath,Gut & Digestive Health,Headline,H11,Book A Gut Health Consult,25,
NZ,WW | NZ | Online Naturopath,Gut & Digestive Health,Headline,H12,Leaky Gut Naturopath NZ,23,
NZ,WW | NZ | Online Naturopath,Gut & Digestive Health,Headline,H13,Meet By Secure Video Call,25,
NZ,WW | NZ | Online Naturopath,Gut & Digestive Health,Headline,H14,"Data First, Not Guesswork",25,
NZ,WW | NZ | Online Naturopath,Gut & Digestive Health,Headline,H15,Book Your Gut Health Session,28,
NZ,WW | NZ | Online Naturopath,Gut & Digestive Health,Description,D1,"Bloating, IBS or constipation? Gut and microbiome testing posted to your door.",78,
NZ,WW | NZ | Online Naturopath,Gut & Digestive Health,Description,D2,"10+ years in digestive health, 32 five-star reviews. Consults by secure video, NZ-wide.",87,
NZ,WW | NZ | Online Naturopath,Gut & Digestive Health,Description,D3,"Works alongside your GP, naturopathy that adds to your care, not against it.",76,
NZ,WW | NZ | Online Naturopath,Gut & Digestive Health,Description,D4,"Free 15-minute discovery call first. No obligation, book online in minutes.",75,
NZ,WW | NZ | Online Naturopath,Hormones & Women's Health,Headline,H1,Naturopath For Hormones,23,
NZ,WW | NZ | Online Naturopath,Hormones & Women's Health,Headline,H2,Naturopath For PCOS,19,
NZ,WW | NZ | Online Naturopath,Hormones & Women's Health,Headline,H3,Perimenopause Naturopath NZ,27,
NZ,WW | NZ | Online Naturopath,Hormones & Women's Health,Headline,H4,Naturopath For PMS,18,
NZ,WW | NZ | Online Naturopath,Hormones & Women's Health,Headline,H5,Hormone Testing Posted Home,27,
NZ,WW | NZ | Online Naturopath,Hormones & Women's Health,Headline,H6,Naturopath For Hormonal Acne,28,
NZ,WW | NZ | Online Naturopath,Hormones & Women's Health,Headline,H7,Over A Decade In Skin Care,26,
NZ,WW | NZ | Online Naturopath,Hormones & Women's Health,Headline,H8,Trusted: 32 Five-Star Reviews,29,
NZ,WW | NZ | Online Naturopath,Hormones & Women's Health,Headline,H9,Complements Your GP's Care,26,
NZ,WW | NZ | Online Naturopath,Hormones & Women's Health,Headline,H10,No-Cost Discovery Session,25,
NZ,WW | NZ | Online Naturopath,Hormones & Women's Health,Headline,H11,Book A Hormone Health Consult,29,
NZ,WW | NZ | Online Naturopath,Hormones & Women's Health,Headline,H12,Fertility Support Naturopath,28,
NZ,WW | NZ | Online Naturopath,Hormones & Women's Health,Headline,H13,"Video Consults, Fully Secure",28,
NZ,WW | NZ | Online Naturopath,Hormones & Women's Health,Headline,H14,A Plan Built Around Your Cycle,30,
NZ,WW | NZ | Online Naturopath,Hormones & Women's Health,Headline,H15,Book Your Hormone Consult,25,
NZ,WW | NZ | Online Naturopath,Hormones & Women's Health,Description,D1,"PMS, perimenopause, PCOS or hormonal acne, hormone testing and care, by video.",78,
NZ,WW | NZ | Online Naturopath,Hormones & Women's Health,Description,D2,"Hormone testing posted to your door, then a plan built around your actual results.",82,
NZ,WW | NZ | Online Naturopath,Hormones & Women's Health,Description,D3,"10+ years in women's health, 32 five-star reviews. Free 15-minute call to start.",80,
NZ,WW | NZ | Online Naturopath,Hormones & Women's Health,Description,D4,"Works alongside your GP or specialist, this adds to your care, not against it.",78,
NZ,WW | NZ | Online Naturopath,Fatigue & Energy,Headline,H1,Naturopath For Fatigue,22,
NZ,WW | NZ | Online Naturopath,Fatigue & Energy,Headline,H2,Chronic Fatigue Naturopath NZ,29,
NZ,WW | NZ | Online Naturopath,Fatigue & Energy,Headline,H3,Adrenal Fatigue Naturopath,26,
NZ,WW | NZ | Online Naturopath,Fatigue & Energy,Headline,H4,Naturopath For Burnout,22,
NZ,WW | NZ | Online Naturopath,Fatigue & Energy,Headline,H5,Naturopath For Brain Fog,24,
NZ,WW | NZ | Online Naturopath,Fatigue & Energy,Headline,H6,"Iron & Energy Testing, Home",27,
NZ,WW | NZ | Online Naturopath,Fatigue & Energy,Headline,H7,10+ Years Experience,20,
NZ,WW | NZ | Online Naturopath,Fatigue & Energy,Headline,H8,"32 Patients, 5-Star Reviews",27,
NZ,WW | NZ | Online Naturopath,Fatigue & Energy,Headline,H9,Fits Around Your GP's Care,26,
NZ,WW | NZ | Online Naturopath,Fatigue & Energy,Headline,H10,"A Free Chat, No Obligation",26,
NZ,WW | NZ | Online Naturopath,Fatigue & Energy,Headline,H11,Book A Fatigue Consult,22,
NZ,WW | NZ | Online Naturopath,Fatigue & Energy,Headline,H12,"Answers, Not Guesswork",22,
NZ,WW | NZ | Online Naturopath,Fatigue & Energy,Headline,H13,See Kohei By Secure Video,25,
NZ,WW | NZ | Online Naturopath,Fatigue & Energy,Headline,H14,A Tailored Energy Plan,22,
NZ,WW | NZ | Online Naturopath,Fatigue & Energy,Headline,H15,Book Your Energy Session,24,
NZ,WW | NZ | Online Naturopath,Fatigue & Energy,Description,D1,"Exhausted or foggy? Iron, thyroid and adrenal testing posted straight to your door.",83,
NZ,WW | NZ | Online Naturopath,Fatigue & Energy,Description,D2,"10+ years helping tired, run-down people feel steady again. 32 five-star reviews.",81,
NZ,WW | NZ | Online Naturopath,Fatigue & Energy,Description,D3,"Free 15-minute discovery call first. Consults by secure video, wherever you are in NZ.",86,
NZ,WW | NZ | Online Naturopath,Fatigue & Energy,Description,D4,"Works alongside your GP, naturopathy that adds to your care, not against it.",76,
NZ,WW | NZ | Online Naturopath,Stress & Sleep,Headline,H1,Naturopath For Stress,21,
NZ,WW | NZ | Online Naturopath,Stress & Sleep,Headline,H2,Naturopath For Sleep,20,
NZ,WW | NZ | Online Naturopath,Stress & Sleep,Headline,H3,Naturopath For Insomnia,23,
NZ,WW | NZ | Online Naturopath,Stress & Sleep,Headline,H4,"Cortisol Testing, At Home",25,
NZ,WW | NZ | Online Naturopath,Stress & Sleep,Headline,H5,Naturopath For Anxiety Support,30,
NZ,WW | NZ | Online Naturopath,Stress & Sleep,Headline,H6,Nervous System Support NZ,25,
NZ,WW | NZ | Online Naturopath,Stress & Sleep,Headline,H7,A Decade Of Experience,22,
NZ,WW | NZ | Online Naturopath,Stress & Sleep,Headline,H8,See Our 32 Five-Star Reviews,28,
NZ,WW | NZ | Online Naturopath,Stress & Sleep,Headline,H9,Keeps Your GP In The Loop,25,
NZ,WW | NZ | Online Naturopath,Stress & Sleep,Headline,H10,First Call's On Us,18,
NZ,WW | NZ | Online Naturopath,Stress & Sleep,Headline,H11,Book A Stress & Sleep Consult,29,
NZ,WW | NZ | Online Naturopath,Stress & Sleep,Headline,H12,"Calm, Not Just Coping",21,
NZ,WW | NZ | Online Naturopath,Stress & Sleep,Headline,H13,"Private, Secure Video Calls",27,
NZ,WW | NZ | Online Naturopath,Stress & Sleep,Headline,H14,A Plan Built Around Sleep,25,
NZ,WW | NZ | Online Naturopath,Stress & Sleep,Headline,H15,Book Your Discovery Call,24,
NZ,WW | NZ | Online Naturopath,Stress & Sleep,Description,D1,"Wired at night, flat by day? Cortisol and stress testing, then a real plan.",75,
NZ,WW | NZ | Online Naturopath,Stress & Sleep,Description,D2,"10+ years helping stressed, sleepless people find calm. 32 five-star reviews.",77,
NZ,WW | NZ | Online Naturopath,Stress & Sleep,Description,D3,"Free 15-minute discovery call first. Consults by secure video, NZ-wide.",71,
NZ,WW | NZ | Online Naturopath,Stress & Sleep,Description,D4,"Works alongside your GP, naturopathy that adds to your care, not against it.",76,
NZ,WW | NZ | Skin Conditions,Eczema,Headline,H1,Naturopath For Eczema NZ,24,
NZ,WW | NZ | Skin Conditions,Eczema,Headline,H2,Eczema Natural Treatment,24,
NZ,WW | NZ | Skin Conditions,Eczema,Headline,H3,Eczema Naturopath Online,24,
NZ,WW | NZ | Skin Conditions,Eczema,Headline,H4,Kohei Beat Eczema Himself,25,
NZ,WW | NZ | Skin Conditions,Eczema,Headline,H5,"Eczema-Gut Connection, Tested",29,
NZ,WW | NZ | Skin Conditions,Eczema,Headline,H6,"Two Qualifications, One Visit",29,
NZ,WW | NZ | Skin Conditions,Eczema,Headline,H7,5 Stars Across 32 Reviews,25,
NZ,WW | NZ | Skin Conditions,Eczema,Headline,H8,"10+ Years, Real Experience",26,
NZ,WW | NZ | Skin Conditions,Eczema,Headline,H9,Lab Tests Posted To Your Door,29,
NZ,WW | NZ | Skin Conditions,Eczema,Headline,H10,Works With Your Current GP,26,
NZ,WW | NZ | Skin Conditions,Eczema,Headline,H11,"15 Minutes, Free, No Pitch",26,
NZ,WW | NZ | Skin Conditions,Eczema,Headline,H12,Book Your Eczema Consult,24,
NZ,WW | NZ | Skin Conditions,Eczema,Headline,H13,Consult Online By Video,23,
NZ,WW | NZ | Skin Conditions,Eczema,Headline,H14,"Eczema Naturopath, NZ-Wide",26,
NZ,WW | NZ | Skin Conditions,Eczema,Headline,H15,A Plan Built For Your Skin,26,
NZ,WW | NZ | Skin Conditions,Eczema,Description,D1,Eczema naturopathy by secure video. Kohei beat severe eczema himself. Book free.,80,
NZ,WW | NZ | Skin Conditions,Eczema,Description,D2,"Ten years working with skin, gut and immune health. Lab tests posted to your door.",82,
NZ,WW | NZ | Skin Conditions,Eczema,Description,D3,"Works alongside your GP or dermatologist, this adds to your care, not instead of it.",84,
NZ,WW | NZ | Skin Conditions,Eczema,Description,D4,"32 five-star reviews. Free 15-minute discovery call, no obligation, NZ-wide.",76,
NZ,WW | NZ | Skin Conditions,Topical Steroid Withdrawal,Headline,H1,TSW Naturopath NZ,17,
NZ,WW | NZ | Skin Conditions,Topical Steroid Withdrawal,Headline,H2,"TSW Support, By Video",21,
NZ,WW | NZ | Skin Conditions,Topical Steroid Withdrawal,Headline,H3,Red Skin Syndrome Naturopath,28,
NZ,WW | NZ | Skin Conditions,Topical Steroid Withdrawal,Headline,H4,TSW Recovery Support,20,
NZ,WW | NZ | Skin Conditions,Topical Steroid Withdrawal,Headline,H5,Coming Off Steroids? We Help,28,
NZ,WW | NZ | Skin Conditions,Topical Steroid Withdrawal,Headline,H6,Ten Years On Skin Cases NZ,26,
NZ,WW | NZ | Skin Conditions,Topical Steroid Withdrawal,Headline,H7,32 Five-Star Google Ratings,27,
NZ,WW | NZ | Skin Conditions,Topical Steroid Withdrawal,Headline,H8,Over 10 Years Experience,24,
NZ,WW | NZ | Skin Conditions,Topical Steroid Withdrawal,Headline,H9,Lab Testing Posted Home,23,
NZ,WW | NZ | Skin Conditions,Topical Steroid Withdrawal,Headline,H10,No Need To Drop Your GP,23,
NZ,WW | NZ | Skin Conditions,Topical Steroid Withdrawal,Headline,H11,Free Intro Call Available,25,
NZ,WW | NZ | Skin Conditions,Topical Steroid Withdrawal,Headline,H12,Book Your TSW Consult,21,
NZ,WW | NZ | Skin Conditions,Topical Steroid Withdrawal,Headline,H13,"One-On-One, At Your Pace",24,
NZ,WW | NZ | Skin Conditions,Topical Steroid Withdrawal,Headline,H14,"TSW Naturopath, NZ-Wide",23,
NZ,WW | NZ | Skin Conditions,Topical Steroid Withdrawal,Headline,H15,"Patience, Not Quick Fixes",25,
NZ,WW | NZ | Skin Conditions,Topical Steroid Withdrawal,Description,D1,Going through topical steroid withdrawal? A naturopath who takes it seriously.,78,
NZ,WW | NZ | Skin Conditions,Topical Steroid Withdrawal,Description,D2,"More than ten years in skin health. Consultations by secure video, NZ-wide.",75,
NZ,WW | NZ | Skin Conditions,Topical Steroid Withdrawal,Description,D3,"Works alongside your GP, never instead of. Free 15-minute chat to start, no pressure.",85,
NZ,WW | NZ | Skin Conditions,Topical Steroid Withdrawal,Description,D4,"Lab testing posted to your door, real data behind your plan, not guesswork.",75,
NZ,WW | NZ | Skin Conditions,Psoriasis,Headline,H1,Psoriasis Naturopath NZ,23,
NZ,WW | NZ | Skin Conditions,Psoriasis,Headline,H2,Psoriasis Natural Treatment,27,
NZ,WW | NZ | Skin Conditions,Psoriasis,Headline,H3,Scalp Psoriasis Naturopath,26,
NZ,WW | NZ | Skin Conditions,Psoriasis,Headline,H4,"Diet, Gut & Psoriasis Care",26,
NZ,WW | NZ | Skin Conditions,Psoriasis,Headline,H5,Psoriasis Flare Up Naturopath,29,
NZ,WW | NZ | Skin Conditions,Psoriasis,Headline,H6,Naturopathic Skin Support,25,
NZ,WW | NZ | Skin Conditions,Psoriasis,Headline,H7,A Genuine 5-Star Record,23,
NZ,WW | NZ | Skin Conditions,Psoriasis,Headline,H8,A Decade In Natural Health,26,
NZ,WW | NZ | Skin Conditions,Psoriasis,Headline,H9,Functional Testing At Home,26,
NZ,WW | NZ | Skin Conditions,Psoriasis,Headline,H10,Keep Seeing Your GP Too,23,
NZ,WW | NZ | Skin Conditions,Psoriasis,Headline,H11,Book A Free Consult Chat,24,
NZ,WW | NZ | Skin Conditions,Psoriasis,Headline,H12,Book Your Psoriasis Consult,27,
