Campaign,Ad Group,Keyword,Match Type,Status
WW | NZ | Brand 2026,Brand - Waterwell,kohei iguchi,Phrase,Enabled
WW | NZ | Brand 2026,Brand - Waterwell,kohei iguchi,Exact,Enabled
WW | NZ | Brand 2026,Brand - Waterwell,kohei iguchi clinic,Phrase,Enabled
WW | NZ | Brand 2026,Brand - Waterwell,kohei iguchi clinic,Exact,Enabled
WW | NZ | Brand 2026,Brand - Waterwell,kohei iguchi medical herbalist,Phrase,Enabled
WW | NZ | Brand 2026,Brand - Waterwell,kohei iguchi medical herbalist,Exact,Enabled
WW | NZ | Brand 2026,Brand - Waterwell,kohei iguchi naturopath,Phrase,Enabled
WW | NZ | Brand 2026,Brand - Waterwell,kohei iguchi naturopath,Exact,Enabled
WW | NZ | Brand 2026,Brand - Waterwell,kohei naturopath,Phrase,Enabled
WW | NZ | Brand 2026,Brand - Waterwell,kohei naturopath,Exact,Enabled
WW | NZ | Brand 2026,Brand - Waterwell,waterwell clinic,Phrase,Enabled
WW | NZ | Brand 2026,Brand - Waterwell,waterwell clinic,Exact,Enabled
WW | NZ | Brand 2026,Brand - Waterwell,waterwell clinic booking,Phrase,Enabled
WW | NZ | Brand 2026,Brand - Waterwell,waterwell clinic booking,Exact,Enabled
WW | NZ | Brand 2026,Brand - Waterwell,waterwell clinic consultation,Phrase,Enabled
WW | NZ | Brand 2026,Brand - Waterwell,waterwell clinic consultation,Exact,Enabled
WW | NZ | Brand 2026,Brand - Waterwell,waterwell clinic naturopath,Phrase,Enabled
WW | NZ | Brand 2026,Brand - Waterwell,waterwell clinic naturopath,Exact,Enabled
WW | NZ | Brand 2026,Brand - Waterwell,waterwell clinic nz,Phrase,Enabled
WW | NZ | Brand 2026,Brand - Waterwell,waterwell clinic nz,Exact,Enabled
WW | NZ | Brand 2026,Brand - Waterwell,waterwell naturopath,Phrase,Enabled
WW | NZ | Brand 2026,Brand - Waterwell,waterwell naturopath,Exact,Enabled
WW | NZ | Brand 2026,Brand - Waterwell,waterwell naturopathy,Phrase,Enabled
WW | NZ | Brand 2026,Brand - Waterwell,waterwell naturopathy,Exact,Enabled
WW | NZ | Brand 2026,Brand - Waterwell,waterwell skin clinic,Phrase,Enabled
WW | NZ | Brand 2026,Brand - Waterwell,waterwell skin clinic,Exact,Enabled
WW | NZ | Brand 2026,Brand - Waterwell,waterwellclinic.co.nz,Phrase,Enabled
WW | NZ | Brand 2026,Brand - Waterwell,waterwellclinic.co.nz,Exact,Enabled
WW | NZ | Online Naturopath,Online Naturopath Consult,affordable naturopath nz,Phrase,Enabled
WW | NZ | Online Naturopath,Online Naturopath Consult,affordable naturopath nz,Exact,Enabled
WW | NZ | Online Naturopath,Online Naturopath Consult,best online naturopath nz,Phrase,Enabled
WW | NZ | Online Naturopath,Online Naturopath Consult,best online naturopath nz,Exact,Enabled
WW | NZ | Online Naturopath,Online Naturopath Consult,book a naturopath,Phrase,Enabled
WW | NZ | Online Naturopath,Online Naturopath Consult,book a naturopath,Exact,Enabled
