Campaign	Ad Group	Max CPC	Status
WW | NZ | Brand 2026	Brand - Waterwell		Enabled
WW | NZ | Online Naturopath	Online Naturopath Consult		Enabled
WW | NZ | Online Naturopath	General Naturopathy		Enabled
WW | NZ | Online Naturopath	Herbal Medicine		Enabled
WW | NZ | Skin Conditions	Eczema		Enabled
WW | NZ | Skin Conditions	Topical Steroid Withdrawal		Enabled
WW | NZ | Skin Conditions	Psoriasis		Enabled
WW | NZ | Skin Conditions	Acne		Enabled
WW | NZ | Skin Conditions	Rosacea		Enabled
WW | NZ | Skin Conditions	Skin Infections		Enabled
WW | AU | Online Naturopath	Online Naturopath Consult AU		Enabled
WW | AU | Online Naturopath	General Naturopathy AU		Enabled
WW | AU | Online Naturopath	Herbal Medicine AU		Enabled
WW | AU | Skin Conditions	Eczema AU		Enabled
WW | AU | Skin Conditions	TSW AU		Enabled
WW | AU | Skin Conditions	Psoriasis AU		Enabled
WW | AU | Skin Conditions	Acne AU		Enabled
WW | AU | Skin Conditions	Rosacea AU		Enabled
WW | AU | Skin Conditions	Skin Infections AU		Enabled
