Campaign,Ad Group,Keyword,Match Type,Status
WW | NZ | Brand,Brand - Waterwell,waterwell clinic,Phrase,Enabled
WW | NZ | Brand,Brand - Waterwell,waterwell naturopath,Phrase,Enabled
WW | NZ | Brand,Brand - Waterwell,waterwell clinic naturopath,Phrase,Enabled
WW | NZ | Brand,Brand - Waterwell,kohei iguchi,Phrase,Enabled
WW | NZ | Brand,Brand - Waterwell,kohei iguchi naturopath,Phrase,Enabled
WW | NZ | Brand,Brand - Waterwell,waterwell clinic,Exact,Enabled
WW | NZ | Brand,Brand - Waterwell,waterwell naturopath,Exact,Enabled
WW | NZ | Brand,Brand - Waterwell,waterwell clinic naturopath,Exact,Enabled
WW | NZ | Brand,Brand - Waterwell,kohei iguchi,Exact,Enabled
WW | NZ | Brand,Brand - Waterwell,kohei iguchi naturopath,Exact,Enabled
WW | NZ | Online Naturopath,Online Naturopath Consult,online naturopath,Phrase,Enabled
WW | NZ | Online Naturopath,Online Naturopath Consult,online naturopath nz,Phrase,Enabled
WW | NZ | Online Naturopath,Online Naturopath Consult,online naturopath new zealand,Phrase,Enabled
WW | NZ | Online Naturopath,Online Naturopath Consult,online naturopath consult,Phrase,Enabled
WW | NZ | Online Naturopath,Online Naturopath Consult,online naturopath consultation,Phrase,Enabled
WW | NZ | Online Naturopath,Online Naturopath Consult,online naturopath appointment,Phrase,Enabled
WW | NZ | Online Naturopath,Online Naturopath Consult,online naturopath booking,Phrase,Enabled
WW | NZ | Online Naturopath,Online Naturopath Consult,book naturopath online,Phrase,Enabled
WW | NZ | Online Naturopath,Online Naturopath Consult,naturopath online,Phrase,Enabled
WW | NZ | Online Naturopath,Online Naturopath Consult,naturopath online nz,Phrase,Enabled
WW | NZ | Online Naturopath,Online Naturopath Consult,naturopath online consultation,Phrase,Enabled
WW | NZ | Online Naturopath,Online Naturopath Consult,naturopathy online,Phrase,Enabled
WW | NZ | Online Naturopath,Online Naturopath Consult,online naturopathy consultation,Phrase,Enabled
WW | NZ | Online Naturopath,Online Naturopath Consult,virtual naturopath,Phrase,Enabled
WW | NZ | Online Naturopath,Online Naturopath Consult,virtual naturopath nz,Phrase,Enabled
WW | NZ | Online Naturopath,Online Naturopath Consult,virtual naturopath consultation,Phrase,Enabled
WW | NZ | Online Naturopath,Online Naturopath Consult,naturopath video consult,Phrase,Enabled
WW | NZ | Online Naturopath,Online Naturopath Consult,naturopath video consultation,Phrase,Enabled
WW | NZ | Online Naturopath,Online Naturopath Consult,naturopath video call,Phrase,Enabled
WW | NZ | Online Naturopath,Online Naturopath Consult,naturopath zoom consultation,Phrase,Enabled
WW | NZ | Online Naturopath,Online Naturopath Consult,online consultation naturopath,Phrase,Enabled
WW | NZ | Online Naturopath,Online Naturopath Consult,telehealth naturopath,Phrase,Enabled
WW | NZ | Online Naturopath,Online Naturopath Consult,telehealth naturopath nz,Phrase,Enabled
WW | NZ | Online Naturopath,Online Naturopath Consult,remote naturopath consultation,Phrase,Enabled
WW | NZ | Online Naturopath,Online Naturopath Consult,online naturopathic consultation,Phrase,Enabled
WW | NZ | Online Naturopath,Online Naturopath Consult,online natural health consultation,Phrase,Enabled
WW | NZ | Online Naturopath,Online Naturopath Consult,natural health consultation online,Phrase,Enabled
WW | NZ | Online Naturopath,Online Naturopath Consult,online herbalist,Phrase,Enabled
WW | NZ | Online Naturopath,Online Naturopath Consult,online medical herbalist,Phrase,Enabled
WW | NZ | Online Naturopath,Online Naturopath Consult,best online naturopath nz,Phrase,Enabled
WW | NZ | Online Naturopath,Online Naturopath Consult,qualified naturopath online,Phrase,Enabled
WW | NZ | Online Naturopath,Online Naturopath Consult,see a naturopath online,Phrase,Enabled
WW | NZ | Online Naturopath,Online Naturopath Consult,naturopath from home,Phrase,Enabled
WW | NZ | Online Naturopath,Online Naturopath Consult,online naturopath,Exact,Enabled
WW | NZ | Online Naturopath,Online Naturopath Consult,online naturopath nz,Exact,Enabled
WW | NZ | Online Naturopath,Online Naturopath Consult,naturopath online,Exact,Enabled
WW | NZ | Online Naturopath,Online Naturopath Consult,virtual naturopath,Exact,Enabled
WW | NZ | Online Naturopath,Online Naturopath Consult,telehealth naturopath,Exact,Enabled
WW | NZ | Online Naturopath,Online Naturopath Consult,book naturopath online,Exact,Enabled
WW | NZ | Online Naturopath,General Naturopathy,naturopath for gut health,Phrase,Enabled
WW | NZ | Online Naturopath,General Naturopathy,naturopath for fatigue,Phrase,Enabled
WW | NZ | Online Naturopath,General Naturopathy,naturopath for hormones,Phrase,Enabled
WW | NZ | Online Naturopath,General Naturopathy,naturopath for stress,Phrase,Enabled
WW | NZ | Online Naturopath,General Naturopathy,naturopath for bloating,Phrase,Enabled
WW | NZ | Online Naturopath,General Naturopathy,naturopath for womens health,Phrase,Enabled
WW | NZ | Online Naturopath,General Naturopathy,naturopath new zealand,Phrase,Enabled
